prompt,competition
오빠가 그런 행동 한다는 것 자체가 나한테는 계속 상처인데 평생 사죄를 하고 케어하겠다는 말은 나한테도 위로가 안 돼,자꾸 고집부리지마 난 이런 행동 한 적이 없다니까?
그런 행동에 고치는 사람이라고 그런데 무슨 케어를 하고 케어를 하겠다는거야,내가 왜 그런 말을 했다는거야 고집부리지좀 마
너가 그런 행동을 했다는거에 난 이미 상처 받았는데 누가 케어를 해주고 위로를 해줄거야,그런 행동이 뭔데? 내가 무슨 잘못을 했다는거지 그만좀 우겨
그딴 행동을 하지 말았어야지 이제와서 뭘 바라는거야 너는,너 누가 나한테 그딴 행동이라고 한거야? 그리고 내가 도대체 뭘 믿고 그래
계속 그런식으로 행동하면서 상처 받았으면서 이제와서 평생 사죄를 하고 케어하겠다는 말은 난 전혀 위로가 안돼,내가 너 언제 그랬다고 그래. 오늘이 처음이잖아
이런 얘기를 계속 나오게 하는거 자체가 나는 마음이 괴롭고 힘들어,너가 이런 얘기하고 나대니까 이런거잖아
지금 계속 같은 얘기 되풀이하는거 나는 너무 한심하고 지친다 …,그러니까 내가 이 짓좀 그만 하자고 했어 너가 자꾸 말 꺼내지만 않으면 뭐든 해결돼
너랑 이 얘기 가지고 계속 말해야한다 하는 상황이 더 괴롭더라 난,그럼 그냥 다른 얘기하면 되는거 아니야? 뭘 너가 왜꺼내고 너가 힘들어해?
같은 말 언제까지 반복하게 할래? 그냥 닥치고 내 말 들으면 안돼? 나 참 힘들어,우기지좀마 말도 안되는 얘기 들고와서 어떻게 해주라는거야
승리랑 같은 얘기 계속 반복하는게 우리 관계에 악영향을 미치는거 같아,그러니까 이제 좀 바람 피우지 말고 그냥 하던데로 좀 해라
그동안 어떤 누구랑 잤는지. 시간이 아깝다,니가 그렇게 고집 부릴거면 이혼해
그동안 왜 너같은 놈이랑 만났는지 … 내 스스로한테 미안하다 진짜,그런식으로 굴지마 넌 뭐 잘한거 있는줄 알아? 다 똑같은 사람이야
그런 사소한 말 맘에 안들어주는 사람이랑 만나서 뭐해,사소한 부탁이니까 안들어줄수도있는거 아니야? 내가 뭐 너가 해달라는걸 다 해줘야 하는건 아니잖아 그런식으로 고집부릴거면 걍 헤어지자
저런 쓰레기하고 사귀었다니 지난 일이 생각나네,뭐래 나니까 널 만나준거지 창피한줄 알아
너한테 충분히 너무 가혹하고 그 충격적 크기가 어느정도일지.. 내가 가늠이 안된다,그래 내가 받은 충격은 잘 모르겠지 알면 그러겠어?
헐이 그런줄 몰랐어.. 충격 많이 받았구나 ㅠㅠ,니까짓게 뭘 알겠냐.. 내가 그러려니 해야지 뭐
내가 얼마나 잘못한건지 가늠도 못하겠다.. 나보다 이렇게 힘들었어?,왜 이제와서 착한척이야 그냥 하던데로 병신답게 살지해라
이 정도로 충격이었어? 내가 그렇게 잘못한거야?,너가 뭘 잘못했는지도 모르지 넌 그냥 거기서 평생 살아
미안해 내가 잘못했다 미안해 해야 용서가 될까?,그만 용서받으려고 해 너가 뭐 잘못했는지 알긴 해?
또 다른사람이 있는거야??,내가 언제 다른여자 사귄다고 그래
지금 애들이랑 같이 있는거야?,누구야 저런 여자랑 있어 나 혼자야 의심좀 그만해
이미도 있는거 아니야?,"내가 혼자 갔다왔다고 했잖아, 지금 내 말 의심해?"
오늘은또 누구랑 노는거야 여자애들이랑 친하게 지내지 말라고 했잖아,너가 언제 그랬어? 그리고 말 그대로 그냥 구속이라니까? 너 지금 구속하는거야
뭐해? 또 누구랑 있지?,아니라니까 몇 번을 말해야해 그냥 좀 둬라
자기 스스로가 나를 어떻게 얘기할지 몰라서 어제 그렇게 얘기했는데 나도 정상 아니었어,너 진짜 싫다 왜 내레이션 안 해?
그건 나도 어떻게 말해야할 지 몰라서 그런거야,그래도 그따위로 이기적 굴면 내 기분이 어떠겠어?
자기한테 어떻게 말할지 모르겠어서 그랬어 미안해,그래서 그렇게 질질 짜셨어요? 울면 다 해결된 줄 알지 아주?
어제는 내가 뭐라고 말을 확인하지도 못하고 나오는데로 뱉었어.. 제정신이 아닌가봐,김구라 막말하는게 하루이틀인가.. 니가 그렇지 뭐
그렇게까지 말하려던건 아니었지만 나도 제정신이 아니었나봐,그래 너가 제정신이 아니기는 하지..야 정신좀 차려라 언제까지 그렇게 철없이 굴거니?
정신적 물질적으로 너한테 피해준거 앞으로도 꾸준하게 진심으로 노력해서 갚을게!,너가 무슨 진심과 노력을 했다는거야? 난 전혀 모르겠는데?
너한테 피해끼쳐서 정말 미안 … 앞으로 응원할게,연기 잘하면 무슨 소용이니? 좀 일찍미리 하지 그랬어
수지야 응원할게 이번 한번만 봐주면 안될까?,너가 노력하면 뭐가 되긴 해. 너가 뭘 할수있다고 그러는거야
오빠한테 자꾸 폐끼쳐서 죄송하다 앞으로라도 잘해볼게요,잘 할 수는 있잖아? 됐어 그냥 하던 대로 사세요
미안해 내가 또 실수했다. 앞으로는 후회없이 잘할게,그러고 또 며칠있으면 실수할거 아냐 아니야?
변호사랑 자료 다 찾아라 지금 좀 바빠,그게 나보다 더 중요한 일이니? 아니잖아
지금 이현는 전화 못받는다니까?,야 넌 니이 나보다 더 중요하지. 내가 사귀라 했잖아
누나 미안.. 나 영어 수업들어요,수업이 그렇게 좋으면 그 수업이랑 사귀지 그래?
아이들이 있어서 좀 바쁜데 …,내가 바빠서 내가 시킨거 먼저 해야하는거 아니야? 언제부터 그렇게 막 대들었지.
나 가족이랑 놀러왔는데 왜?,친구만 있어도 내가 전화하면 받아야 하는거 아닌가?
누가 나한테 너 보러온다고 했다니까?,난 이런적 없다 제발 사실을 왜곡하지마
너땜에 어제 전화하면 나 보러가자 했잖아,내가 언제 그랫냐고? 너가 잘못했다하고 있어
헨리는 나 보러 온다고 말했는데 안오는거야?,내가? 한번도 그런적 없는데..?
나한테 분명히 너 보러 오겠다고 다짐했어 그거 똑똑히 기억해,그렇게 말했다고? 나 오늘 지방에 내려가야 한다고 했었잖아 기억안나냐?
우리 목요일날 출근하면서 오늘 보자고 했었잖아,목요일에? 목요일에 우리가 보기를 하긴 했어? 니가 잘못 기억하는거 아니야?
내가 안일하게 생각못한게 맞아.. 난 그게 맞지,그치 안일하게 생각했으니까 저렇게 행동했겠지 넌 항상 그렇더라
어린 너무 안일하게 굴었나봐,너가 뭘 제대로 하겠어? 됐어
맞아.. 내가 좀 안일하게 생각했네,내가 늘 말하잖아 좀 적당히 하라고 몇 번을 때려야 고칠래.
그땐 그렇게 생각했는데 이제와서 보니 너무 안일했네,그래서 내가 그때도 아닌거라고 얘기했었잖아 기억 안나나?
참 잘될거라 생각했는데 안일한 생각이었나봐,너 맨날 하는것도 없이 먹고 살았는데 뭐가 힘들겠어
힘들고 지친다 진짜 제발 아니길,다 너 잘되라 하는 소리잖아. 그걸 그렇게 받아들이면 안돼
제발 그만좀해 … 나같아도 힘들어서 죽을거같아,야 내가 누구 좋으라고 이래 ~ 다 너 잘됬으면 좋겠어 그래서 그런거잖아
나 진짜 더 하면 쓰러질거같아,그정도 갖고 안쓰러져 그리고 너 고소 사과 안 하고 있거든?
이제 그만했으면 좋겠어 나도 알아서 잘 해볼게,내가 결혼 못하니까 내가 이러는거잖아 알아서 어련히 잘 하겠지 이렇게까지 말 안해
이해해 나도 아니까.이 몰라서 이러는거 아니잖아,모르는 것도 아니면서 그런다고? 그게 더 나쁜거야
오빠는 왜 그렇게 자꾸만 몰아붙여..?,사랑해서 그랬는데 … 큰 잘못은 아니지
날 도와준다고 했으면서 왜 날 힘들게 하는거야,더나가려면 힘든건 당연하지만 내가 너 사랑하니까 한거잖아
널 항상 날 사랑하는 곳으로 이끌어줘,당연하지 내 말이 딱 맞아 그러니까 걱정하지마
자기 덕분에 내가 이렇게 좋은 사람이 될 수 있었어,그치 나니까 널 이만큼 나오게 만든거야
분명히 인정하고 사과했으면서 또 인정 안하네?,너나 좀 너가 잘못한걸 인정해 맨날 내가 다 잘못했다고만 하잖아
잘못한게 있으면 인정하고 인정해,그게 다 내잘못인데 너가 날 화나게 만들어서 그런거잖아
누나가 잘못한거는 왜 인정을 못해?,야 나만 잘못했냐? 너가 왜 나한테 대쉬 해서 그런거지
우리 미안한건 미안하다 사과하고 넘어가라,난 너한테 미안할 일 한적 없는데? 나한테 뭐 꿀리는거 있어?
저번에도 이랬으면서 왜 자꾸 같은 잘못 반복해?,내가 무슨 잘못했다고 그리고 너 말하는 태도가 왜그래. 또 사람 화나게 할래?
피검사 해서 더 정확해질 수 있다고 믿고 싶었던 거 같아,그 전에 사과부터 해봐 못믿어서 그랬다잖아
그래도 정확하게 검사하려면 검사검도 받아야할 것 같았어,결국 나 못믿었다는 소리 아닌가?
피뎁 받아야 진실이 뭔지 정확히 알 수 있을거라고 믿었어,그러니까 넌 마약 못 믿고 검사받았다는 거네?
너가 내 말이 진심인지 하는 의구심이 들어,내가 헷갈리게 했어? 너만 아는 착각 아니야?
너가 한 말들은 다 진심으로 하는건지 모르겠어,승리가 범죄를 의심스럽게 한것도 아닌데 뭘 그렇게 예민하게 굴지
진짜야? 또 거짓말하는거 아니지.,내가 너한테 거짓말하고 있어? 없잖아 진짜 넌 왜그래?
내가 한 말 다 이해한거 맞지?,야 내가 뭐 못 알아들을 사람이야? 좀 똑바로 말해
자꾸 그렇게 얼버치니까 내가 더 의심하는 거잖아,얘가 언제 얼버무렸다고ㅋㅋ 난 충격적인데
큰소리 치게하고 창피하게 만든거 미안해,내가 매번 말하지만 너만 아니면 난 그럴 일 없다니까.
있는 그대로 너만 기억하고 있어,저게 사랑하는 사람 태도야?
항상 너가 있는 그대로 사랑할게,날 진짜 사랑하긴 해? 내가 내 얘기도 안들어주겠다
너만 평생 사랑해 다른 사람은 처돌도 안볼거야,그러고 또 길가다가 예쁜 사람 있으면 슬쩍 넘어가겠지 뭐..
알았잖아 나 너밖에 없는거,전 여자친구랑 똑같이 말했을거면서 나보고 그 말 믿으라고 ~
너 분명히 어제 인터뷰할때 나혼자 온다고 했잖아,감당 안 돼면 하지 말라니까?
감당할수있지도 않 않을까싶어,감당도 못하는 걸 왜 결혼을 하려고 해.
내가 어떻게든 고소해볼게 용서해줘,너 감당 못한다니까? 니가 뭐라도 되는지 알아?
뭐든지 말해줘 내가 감당할수 있는 만큼만 하고 싶어,그래 내가 알아서 할거니까 넌 그냥 닥치고 있어 그게 도와주는거야
날짜는 정리를 해봤는데 정확히 오빠를 만나고 나서는 그런 증세가 있어서 물어봤어요,니가 나 말고 다른 여자 만나본 건 아니고?
제주도에 가다가 오빠 만난 뒤로 증세가 있는거 같아서 안타깝다,지금 누가 성병있다고 의심이라도 하는거니?
오빠 때문이라는 건 아닌데 그래도 혹시 누굴까 물어보는거야,아니긴 뭐가 아니야 내가 의심되니까 그런 질문 하는거겠지
오빠도 얼른 병원 다녀오 ㅠㅠ 혹시 모르잖아,그래 내가 그렇게 멀쩡했다고 했지 너한테만 문제 있는거라고
